Gen ind   P      D     Cost
26   3    15852    5864   -4.540966
26   4    11500    6105   -4.538356
26   5    11756    5865   -4.528711
26   6    11372    5851   -4.539475
26   7    10604    5881   -4.571741
26   8    10604    5881   -4.571741
26   9    10348    5880   -4.585701
26   10    11500    6105   -4.538356
26   11    10348    5848   -4.584161
26   12    11756    5865   -4.528711
26   13    11756    5881   -4.528656
26   14    11756    5737   -4.529664
26   15    11756    5883   -4.528650
26   16    11758    5864   -4.528666
26   17    15470    5883   -4.530840
26   18    10604    5865   -4.571127
26   19    11756    5737   -4.529664
26   20    11756    5867   -4.528703
26   21    11628    5867   -4.532016
26   22    11340    5881   -4.540819
26   23    11756    5865   -4.528711
26   24    15470    5883   -4.530840
26   25    11756    5881   -4.528656
27   1    11756    5883   -4.528650
27   2    15470    5875   -4.531695
27   3    11758    5864   -4.528666
27   4    11500    5881   -4.535725
27   5    11756    5881   -4.528656
27   6    15470    5883   -4.530840
27   7    11756    5881   -4.528656
27   8    11756    5883   -4.528650
27   9    10604    5881   -4.571741
27   10    11756    5737   -4.529664
27   11    15852    5864   -4.540966
27   12    11372    5851   -4.539475
27   13    11500    6105   -4.538356
27   14    11756    5867   -4.528703
27   15    15436    5881   -4.530397
27   16    10476    5880   -4.578474
27   17    11758    5864   -4.528666
27   18    15852    5864   -4.540966
27   19    10604    5857   -4.570825
27   20    11372    5851   -4.539475
27   21    15468    5883   -4.530801
27   22    11756    5737   -4.529664
27   23    11756    5865   -4.528711
27   24    15470    5883   -4.530840
27   25    11628    5867   -4.532016
28   1    11756    5883   -4.528650
28   2    11756    5867   -4.528703
28   3    11724    5883   -4.529466
28   4    15470    5883   -4.530840
28   5    15436    5881   -4.530397
28   6    11758    5864   -4.528666
28   7    15852    5864   -4.540966
28   8    9324    5851   -4.659909
28   9    10476    5880   -4.578474
28   10    15852    5864   -4.540966
28   11    15726    5875   -4.536938
28   12    11756    5865   -4.528711
28   13    11308    5851   -4.541552
28   14    11756    5883   -4.528650
28   15    15468    1787   -6.524201
28   16    11756    5883   -4.528650
28   17    11372    5851   -4.539475
28   18    10540    5857   -4.574096
28   19    11500    5881   -4.535725
28   20    15470    5875   -4.531695
28   21    11758    5864   -4.528666
28   22    11772    5883   -4.528249
28   23    11724    5737   -4.530321
28   24    11756    5865   -4.528711
28   25    10604    5881   -4.571741
29   1    11772    5883   -4.528249
29   2    11308    4827   -4.570540
29   3    10540    5857   -4.574096
29   4    10476    5864   -4.577780
29   5    15468    1787   -6.524201
29   6    15852    5867   -4.540616
29   7    10540    5857   -4.574096
29   8    11724    5883   -4.529466
29   9    15470    5883   -4.530840
29   10    11724    5883   -4.529466
29   11    10540    5729   -4.569402
29   12    11308    5851   -4.541552
29   13    11756    5883   -4.528650
29   14    11628    5881   -4.532028
29   15    11372    5851   -4.539475
29   16    15852    5864   -4.540966
29   17    11756    5865   -4.528711
29   18    15852    5864   -4.540966
29   19    11724    5867   -4.529502
29   20    15436    5849   -4.533820
29   21    11758    5864   -4.528666
29   22    11772    5883   -4.528249
29   23    11468    5737   -4.536284
29   24    9324    5851   -4.659909
29   25    15726    5875   -4.536938
30   1    11772    5883   -4.528249
30   2    15852    5864   -4.540966
30   3    10540    5729   -4.569402
30   4    15470    5883   -4.530840
30   5    15852    5864   -4.540966
30   6    10476    5864   -4.577780
30   7    11724    5883   -4.529466
30   8    11772    5883   -4.528249
30   9    11758    5868   -4.528650
30   10    11628    5881   -4.532028
30   11    15468    1787   -6.524201
30   12    15726    5875   -4.536938
30   13    11724    5883   -4.529466
30   14    9676    5883   -4.632233
30   15    11724    5883   -4.529466
30   16    14828    5867   -4.521450
30   17    3564    5865   -7.329725
30   18    11628    1785   -5.859927
30   19    15436    5849   -4.533820
30   20    15470    5883   -4.530840
30   21    10476    5864   -4.577780
30   22    11308    5083   -4.554825
30   23    11308    5851   -4.541552
30   24    10476    5864   -4.577780
30   25    15470    5883   -4.530840
31   1    14828    5867   -4.521450
31   2    15436    5849   -4.533820
31   3    11644    5883   -4.531591
31   4    9676    5883   -4.632233
31   5    11758    5870   -4.528643
31   6    10476    5864   -4.577780
31   7    11308    5083   -4.554825
31   8    11758    5868   -4.528650
31   9    15436    5833   -4.535556
31   10    11308    5083   -4.554825
31   11    11724    5883   -4.529466
31   12    15470    5883   -4.530840
31   13    15852    5864   -4.540966
31   14    10476    5864   -4.577780
31   15    15852    5864   -4.540966
31   16    11628    1785   -5.859927
31   17    11308    5083   -4.554825
31   18    11758    5884   -4.528596
31   19    10476    5832   -4.576430
31   20    11772    5883   -4.528249
31   21    11724    5883   -4.529466
31   22    11628    5881   -4.532028
31   23    9676    5883   -4.632233
31   24    11740    5883   -4.529055
31   25    10748    5883   -4.564713
32   1    14828    5867   -4.521450
32   2    11628    5113   -4.552151
32   3    15470    5883   -4.530840
32   4    15852    5864   -4.540966
32   5    15470    5883   -4.530840
32   6    10476    5864   -4.577780
32   7    11628    5881   -4.532028
32   8    11628    5881   -4.532028
32   9    11308    5087   -4.554624
32   10    14700    5867   -4.519637
32   11    15852    5864   -4.540966
32   12    14828    5865   -4.521634
32   13    9676    5883   -4.632233
32   14    14828    5867   -4.521450
32   15    9676    5875   -4.631609
32   16    15436    5833   -4.535556
32   17    15852    5864   -4.540966
32   18    10476    5832   -4.576430
32   19    11308    5083   -4.554825
32   20    11644    5882   -4.531590
32   21    11724    5883   -4.529466
32   22    15436    1753   -6.570305
32   23    11758    5836   -4.528800
32   24    11772    5883   -4.528249
32   25    15470    5883   -4.530840
33   1    14700    5867   -4.519637
33   2    11628    5881   -4.532028
33   3    15852    5832   -4.544735
33   4    11724    5883   -4.529466
33   5    11758    5836   -4.528800
33   6    8652    5883   -4.736383
33   7    10476    5832   -4.576430
33   8    14828    5803   -4.527470
33   9    11308    6111   -4.546181
33   10    10476    5864   -4.577780
33   11    10476    5832   -4.576430
33   12    14828    5867   -4.521450
33   13    11628    5881   -4.532028
33   14    15852    5864   -4.540966
33   15    15852    5864   -4.540966
33   16    15596    5864   -4.535432
33   17    14828    5867   -4.521450
33   18    10476    6088   -4.588711
33   19    11308    6107   -4.546083
33   20    11564    5113   -4.552251
33   21    11309    5083   -4.554820
33   22    15852    5864   -4.540966
33   23    14828    5865   -4.521634
33   24    15470    5883   -4.530840
33   25    11724    5867   -4.529502
34   1    14700    5867   -4.519637
34   2    15852    5868   -4.540499
34   3    15852    5866   -4.540732
34   4    10476    5864   -4.577780
34   5    14828    5867   -4.521450
34   6    10604    5881   -4.571741
34   7    14828    5803   -4.527470
34   8    15852    5864   -4.540966
34   9    15852    5880   -4.539106
34   10    15852    5864   -4.540966
34   11    15852    5848   -4.542842
34   12    10700    5883   -4.567021
34   13    11309    5083   -4.554820
34   14    11724    5883   -4.529466
34   15    15532    5864   -4.534120
34   16    11630    5881   -4.531973
34   17    11308    6107   -4.546083
34   18    11628    5881   -4.532028
34   19    10476    5832   -4.576430
34   20    11309    4827   -4.570545
34   21    14828    5865   -4.521634
34   22    11620    5881   -4.532250
34   23    15852    5864   -4.540966
34   24    11628    5881   -4.532028
34   25    11628    5881   -4.532028
35   1    14700    5867   -4.519637
35   2    10476    5864   -4.577780
35   3    15532    5864   -4.534120
35   4    11756    5880   -4.528659
35   5    15852    5868   -4.540499
35   6    10700    6139   -4.577730
35   7    11620    5881   -4.532250
35   8    15852    5868   -4.540499
35   9    15852    5864   -4.540966
35   10    11309    5083   -4.554820
35   11    15852    5866   -4.540732
35   12    11628    5881   -4.532028
35   13    11756    5881   -4.528656
35   14    15532    5864   -4.534120
35   15    10476    5832   -4.576430
35   16    11309    4827   -4.570545
35   17    15852    5866   -4.540732
35   18    11620    5880   -4.532248
35   19    14700    1771   -6.415048
35   20    11309    5075   -4.555228
35   21    11628    5881   -4.532028
35   22    15534    5864   -4.534161
35   23    10476    5832   -4.576430
